Companies Name,Domain,Year,Market Expansion- Investigating potential markets and entering them effciently. ,Increasing Product Mix ,Research and Development Benefit and Patents & Intellectual Property ,Increased geographical reach and customers,"Distribuation Channel Expansion -  In eCommerce site, physical store, online marketplaces and  B2B retail. ",Cross Selling - Marketing additional product to existing customer,Rebranding,Data Integrity and One true source of information -  Centralized System,"Data Disparity - Time spent entering, maintaining, and collating that data",Improved Standardisation - More consolidate technical environment by using standard s/w across,Improving  Utilisation and IT Infrastructure - s/w and h/w resource utilization at max,Improved Security /Complaince/Threat Detection & Internal IT Governance- Improved secuirty protocols,Improved Business Intelligence - analyzing data and imrpoving  effciency ,"Improved Flexibility - New system, s/w & h/w onboarding is easy in standardized environment.","New TechNology Advancement - Cloud based, Big Data, RPA, ML and expanding WAN","Providing Development and Testing Environment, Tools  & Software- IDE to build application upon",Heavy Processing workloads & Performance requirement.,IT Consolidation,Regular Software updates & Hardware manitianence,IT Realted Cost Benefit,Removing old legacy sytems,Improved Data Recovery and Backup,Tax Shield/ benefit - Reduction in taxable income for an corporation achieved through claiming allowable deductions. ,Debt Capacity -  Meeting financial obligations when they are due without causing insolvency. ,EcoNomies of Scale - Cost advantages reaped by companies when production becomes efficient.,Increased Operational Effciency - bigger level of expertise,Redundant Storage  Management - effcient storage management.,Staff headcount,Consolidating offices and other locations - Capturing new locations and merging offices.,Consolidating suppliers & renegotiating supplier terms, Overall Maximum asset utilization,Reducing costs through exchange of best practices,Reduced Training cost,Reducing competition,Monetary Benefit/Shares Profit,"Imoroving Buisness Efficiency  in terms of techNology - Agility, Scalable and Smiplicity",Novel and Built-In Customized solution,Higher Customer Satisfaction - Customer Profiling,"Financial Management, HR Payroll, Logistics and Internal Communication Improvement.",Sustanibility and reducing carbon footprint,Improved Customer support/Service Desk and Help Desk Consolidation,,,,
Bharti Infratel  and Indus Towers ,Telecomm Industry ,2020,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,,,,
"National Institute of Miners’ Health (NIMH) and National Institute of Occupational Health (NIOH), ",Government,2019,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,
Bank of Baroda Dena Bank and Vijaya Bank,BFSI,2019,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,,,,
Vodafone and Idea,Telecomm Industry ,2018,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,,,,
Tata Steel VS Thyssenkrupp,Steel Industry,2018,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,,,,
Flipkart and E-bay India,E Commerce,2017,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,,,,
TATA Motors and JLR,Automobile,2008,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,,,,
Sun Pharmaceutical and Rnabaxy Labrorities,Pharmaceuticals,2014,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,,,,
Amazon and Whole Food Markets,E Commerce,2017,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,,,,
HUL and GSK,FMCG,2018,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,,,,
Tata Steel has and Bhushan Steel (BSL) ,Steel Industry,2018,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,,,,
Kraft Heinz Company  ,FMCG,2015,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,,,,
Sales Force and Slack,Technology,2020,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,,,,
Microsoft and LinkedIN,Technology,2016,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,,,,
Microsoft and GitHub,Technology,2018,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,,,,
Google and Youtube,Technology,2006,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,,,,
Amazonand PillPack,Pharmaceuticals,2018,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,
Looker and Google,Technology,2019,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,,,,
Apple Dialog Semiconductor,Technology,2018,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,,,,
Apple Shazam,Technology,2017,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,,,
Vodafone Idea and IBM contract,Telecomm Industry ,2018,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,,,,
Chubb and IBM contract,BFSI,2016,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,
Accenture and US Airforce,Government,2015,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,,,,
Atos SE and PostNord ,Logistics,2012,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
FNZ and Santander UK,BFSI,2015,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,,,,
TCS abd KGI Bank,BFSI,2019,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,,,,
Sales Force and  Emergencias,Healthcare,2019,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,,,,
Microsoft & Dayton Childrens Hospital,Healthcare,2020,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,,,,
Infor & Yale new haven health system,Healthcare,2017,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,,,,
Ultimate Software Group & Deborah Heart ,Healthcare,2012,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,,,,
Infosys& Dialmer AG,Automobile,2014,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,,
HP & Alcatel-Lucent,Telecomm Industry ,2009,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,
NISource and IBM,Resource Industry,2009,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,,,,
"Energy Enterprise Solutions, LLC and US Department of Energy",Government,2008,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,,,,
Ericsson and Hewlett Packard Enterprise Company,Discrete Manufacturing,2003,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,,,,
Florida Department of Transportation (FDOT) and  awarded Xerox,Logistic and Transportation,2015,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,
TNT Express N.V. Accenture PLC,Logistic and Transportation,2015,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,
US Federal Aviation Administration and Computer Sciences Corporation,Logistic and Transportation,2015,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,
